Country Name,year,percent_gdp,percent_net_exports,percent_consumption,percent_government,percent_investment,component_sum
Belize,1996,1,-0.12667236735792978,0.6919493817248077,0.13572069086597513,-0.7785229873456421,-0.07752528211278903
Belize,1997,1,0.06245520893042941,0.5362409100622796,0.12855289318534224,-0.033518498307074054,0.6937305138709772
Belize,1998,1,-0.6291873731117915,1.3417408762087386,0.3051274524864619,-0.09334808001746432,0.9243328755659445
Belize,1999,1,-0.7076484084047737,0.5516598587327829,0.12608639694552548,0.7649850697476901,0.7350829170212249
Belize,2000,1,-0.5140556491778486,0.463203627767927,0.10919532620796106,0.6165808104606411,0.6749241152586806
Belize,2001,1,0.5357213130384572,0.9901499319840493,0.23100337208155156,-0.35620561280456087,1.4006690042994971
Belize,2002,1,0.5245829911336509,1.0232759505950553,0.22984955711173802,-0.25113644753085473,1.5265720513095893
Belize,2003,1,0.5184118294479712,0.3059499359557329,0.07305539580106475,-0.33258842589954224,0.5648287353052266
Belize,2004,1,1.3581166498754833,-0.024525616081927173,-0.006414021307466184,-0.1962250755754629,1.1309519369106271
Belize,2005,1,0.8687562298354858,-0.35292107390432864,-0.07911180167058322,0.5672528243289198,1.0039761785894936
Belize,2006,1,2.639640734866867,-0.30332101560178176,-0.06980646506510732,0.07280451876673741,2.3393177729667154
Belize,2007,1,-3.2821303470217744,0.42170871729315934,0.40029979047549846,0.4686133551438497,-1.991508484109267
Belize,2008,1,1.0355803290345613,-0.6175728566574472,0.031514092306343174,-2.3349663900653237,-1.8854448253818665
Belize,2009,1,-24.871593583091737,5.825084080846535,-2.9775457689984646,14.498004611283584,-7.526050659960081
Belize,2010,1,-0.9314948064463519,1.4398409718169973,0.7045167127291273,-2.717398255353265,-1.5045353772534922
Belize,2011,1,14.655679976026272,-3.1388832840339025,-0.7661651903724552,-0.6278411188271421,10.122790382792772
Belize,2012,1,0.6980657602915131,0.7273886086978465,0.15074759387441275,-0.13039436494682088,1.4458075979169513
