"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.2","Industries","Construction","F","2020","100","EC dollar","1993","2006","34920000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2020","100","EC dollar","1993","2006","551830000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2020","100","EC dollar","1993","2006","327740000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2020","100","EC dollar","1993","2006","224080000",""
"Antigua and Barbuda","2.2","Industries","Transport, storage and communications","I","2020","100","EC dollar","1993","2006","238040000",""
"Antigua and Barbuda","2.2","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2020","100","EC dollar","1993","2006","132820000",""
"Antigua and Barbuda","2.2","Industries","Post and telecommunications","64","2020","100","EC dollar","1993","2006","103220000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation, real estate, renting and business activities","J+K","2020","100","EC dollar","1993","2006","634680000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation","J","2020","100","EC dollar","1993","2006","253330000",""
"Antigua and Barbuda","2.2","Industries","Real estate, renting and business activities","K","2020","100","EC dollar","1993","2006","381360000",""
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2020","100","EC dollar","1993","2006","250470000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2020","100","EC dollar","1993","2006","397930000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2020","100","EC dollar","1993","2006","236260000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2020","100","EC dollar","1993","2006","98260000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2020","100","EC dollar","1993","2006","63410000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2020","100","EC dollar","1993","2006","6960000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2020","100","EC dollar","1993","2006","2639150000",""
"Antigua and Barbuda","2.2","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2020","100","EC dollar","1993","2006","44500000",""
"Antigua and Barbuda","2.2","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2020","100","EC dollar","1993","2006","374940000",""
"Antigua and Barbuda","2.2","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2020","100","EC dollar","1993","2006","3014100000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2019","100","EC dollar","1993","2006","53690000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry","A","2019","100","EC dollar","1993","2006","22790000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting and related service activities","01","2019","100","EC dollar","1993","2006","21850000",""
"Antigua and Barbuda","2.2","Industries","Forestry, logging and related service activities","02","2019","100","EC dollar","1993","2006","930000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2019","100","EC dollar","1993","2006","30900000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2019","100","EC dollar","1993","2006","41150000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2019","100","EC dollar","1993","2006","62900000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2019","100","EC dollar","1993","2006","125490000",""
"Antigua and Barbuda","2.2","Industries","Construction","F","2019","100","EC dollar","1993","2006","467070000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2019","100","EC dollar","1993","2006","881080000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2019","100","EC dollar","1993","2006","399880000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2019","100","EC dollar","1993","2006","481210000",""
"Antigua and Barbuda","2.2","Industries","Transport, storage and communications","I","2019","100","EC dollar","1993","2006","320780000",""
"Antigua and Barbuda","2.2","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2019","100","EC dollar","1993","2006","198460000",""
