"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Fiscal Year Type","Base Year","Value","Value Footnotes"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2019","1000","Euro","2008","Western calendar year","2015","20220650000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2019","1000","Euro","2008","Western calendar year","2015","753417820000",""
"Germany","2.5","Industries","Manufacturing","C","2019","1000","Euro","2008","Western calendar year","2015","661330540000",""
"Germany","2.5","Industries","Construction","F","2019","1000","Euro","2008","Western calendar year","2015","125344170000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2019","1000","Euro","2008","Western calendar year","2015","471006040000",""
"Germany","2.5","Industries","Information and communication","J","2019","1000","Euro","2008","Western calendar year","2015","151860870000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2019","1000","Euro","2008","Western calendar year","2015","114124190000",""
"Germany","2.5","Industries","Real estate activities","L","2019","1000","Euro","2008","Western calendar year","2015","302488360000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2019","1000","Euro","2008","Western calendar year","2015","339257780000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2019","1000","Euro","2008","Western calendar year","2015","523251420000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2019","1000","Euro","2008","Western calendar year","2015","111853020000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2019","1000","Euro","2008","Western calendar year","2015","2912561400000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2019","1000","Euro","2008","Western calendar year","2015","329679000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2019","1000","Euro","2008","Western calendar year","2015","336564000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2019","1000","Euro","2008","Western calendar year","2015","6878000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2019","1000","Euro","2008","Western calendar year","2015","3242249250000","1"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2018","1000","Euro","2008","Western calendar year","2010","14996600000",""
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2018","1000","Euro","2008","Western calendar year","2015","17796410000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2018","1000","Euro","2008","Western calendar year","2010","730734260000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2018","1000","Euro","2008","Western calendar year","2015","760859500000",""
"Germany","2.5","Industries","Manufacturing","C","2018","1000","Euro","2008","Western calendar year","2010","640001900000",""
"Germany","2.5","Industries","Manufacturing","C","2018","1000","Euro","2008","Western calendar year","2015","668966010000",""
"Germany","2.5","Industries","Construction","F","2018","1000","Euro","2008","Western calendar year","2010","111115270000",""
"Germany","2.5","Industries","Construction","F","2018","1000","Euro","2008","Western calendar year","2015","129703430000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2018","1000","Euro","2008","Western calendar year","2010","432851650000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2018","1000","Euro","2008","Western calendar year","2015","454782260000",""
"Germany","2.5","Industries","Information and communication","J","2018","1000","Euro","2008","Western calendar year","2010","147204620000",""
"Germany","2.5","Industries","Information and communication","J","2018","1000","Euro","2008","Western calendar year","2015","146352180000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2018","1000","Euro","2008","Western calendar year","2010","112340010000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2018","1000","Euro","2008","Western calendar year","2015","112350730000",""
"Germany","2.5","Industries","Real estate activities","L","2018","1000","Euro","2008","Western calendar year","2010","285213420000",""
"Germany","2.5","Industries","Real estate activities","L","2018","1000","Euro","2008","Western calendar year","2015","303326360000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2018","1000","Euro","2008","Western calendar year","2010","281311140000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2018","1000","Euro","2008","Western calendar year","2015","339288470000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2018","1000","Euro","2008","Western calendar year","2010","461089790000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2018","1000","Euro","2008","Western calendar year","2015","514915480000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2018","1000","Euro","2008","Western calendar year","2010","97071100000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2018","1000","Euro","2008","Western calendar year","2015","109548450000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2018","1000","Euro","2008","Western calendar year","2010","2672735280000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2018","1000","Euro","2008","Western calendar year","2015","2888063220000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","1000","Euro","2008","Western calendar year","2010","301537790000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","1000","Euro","2008","Western calendar year","2015","319855000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2018","1000","Euro","2008","Western calendar year","2010","307581050000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2018","1000","Euro","2008","Western calendar year","2015","326707000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2018","1000","Euro","2008","Western calendar year","2010","6110040000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2018","1000","Euro","2008","Western calendar year","2015","6851000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","1000","Euro","2008","Western calendar year","2010","2974293170000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","1000","Euro","2008","Western calendar year","2015","3207750800000","1"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2017","1000","Euro","2008","Western calendar year","2010","15358990000",""
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2017","1000","Euro","2008","Western calendar year","2015","21596460000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2017","1000","Euro","2008","Western calendar year","2010","725390360000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2017","1000","Euro","2008","Western calendar year","2015","755504270000",""
"Germany","2.5","Industries","Manufacturing","C","2017","1000","Euro","2008","Western calendar year","2010","634334980000",""
"Germany","2.5","Industries","Manufacturing","C","2017","1000","Euro","2008","Western calendar year","2015","662993100000",""
"Germany","2.5","Industries","Construction","F","2017","1000","Euro","2008","Western calendar year","2010","107870380000",""
"Germany","2.5","Industries","Construction","F","2017","1000","Euro","2008","Western calendar year","2015","127242760000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2017","1000","Euro","2008","Western calendar year","2010","423515120000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2017","1000","Euro","2008","Western calendar year","2015","447767730000",""
"Germany","2.5","Industries","Information and communication","J","2017","1000","Euro","2008","Western calendar year","2010","142223390000",""
"Germany","2.5","Industries","Information and communication","J","2017","1000","Euro","2008","Western calendar year","2015","136519730000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2017","1000","Euro","2008","Western calendar year","2010","111564080000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2017","1000","Euro","2008","Western calendar year","2015","121146110000",""
"Germany","2.5","Industries","Real estate activities","L","2017","1000","Euro","2008","Western calendar year","2010","282326810000",""
"Germany","2.5","Industries","Real estate activities","L","2017","1000","Euro","2008","Western calendar year","2015","302608070000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2017","1000","Euro","2008","Western calendar year","2010","276606200000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2017","1000","Euro","2008","Western calendar year","2015","328609950000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2017","1000","Euro","2008","Western calendar year","2010","454667350000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2017","1000","Euro","2008","Western calendar year","2015","512316640000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2017","1000","Euro","2008","Western calendar year","2010","96665310000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2017","1000","Euro","2008","Western calendar year","2015","107979610000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2017","1000","Euro","2008","Western calendar year","2010","2634891660000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2017","1000","Euro","2008","Western calendar year","2015","2861115220000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","1000","Euro","2008","Western calendar year","2010","297403950000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","1000","Euro","2008","Western calendar year","2015","315596000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2017","1000","Euro","2008","Western calendar year","2010","303239920000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2017","1000","Euro","2008","Western calendar year","2015","322447000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2017","1000","Euro","2008","Western calendar year","2010","5918950000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2017","1000","Euro","2008","Western calendar year","2015","6869000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","1000","Euro","2008","Western calendar year","2010","2932496200000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","1000","Euro","2008","Western calendar year","2015","3176581150000","1"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2016","1000","Euro","2008","Western calendar year","2010","14914770000",""
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2016","1000","Euro","2008","Western calendar year","2015","20357400000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2016","1000","Euro","2008","Western calendar year","2010","708397930000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2016","1000","Euro","2008","Western calendar year","2015","726433040000",""
"Germany","2.5","Industries","Manufacturing","C","2016","1000","Euro","2008","Western calendar year","2010","617952410000",""
"Germany","2.5","Industries","Manufacturing","C","2016","1000","Euro","2008","Western calendar year","2015","639840370000",""
"Germany","2.5","Industries","Construction","F","2016","1000","Euro","2008","Western calendar year","2010","105364320000",""
"Germany","2.5","Industries","Construction","F","2016","1000","Euro","2008","Western calendar year","2015","127267740000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2016","1000","Euro","2008","Western calendar year","2010","409769680000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2016","1000","Euro","2008","Western calendar year","2015","440021630000",""
"Germany","2.5","Industries","Information and communication","J","2016","1000","Euro","2008","Western calendar year","2010","137293830000",""
"Germany","2.5","Industries","Information and communication","J","2016","1000","Euro","2008","Western calendar year","2015","129876530000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2016","1000","Euro","2008","Western calendar year","2010","111085770000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2016","1000","Euro","2008","Western calendar year","2015","115873680000",""
"Germany","2.5","Industries","Real estate activities","L","2016","1000","Euro","2008","Western calendar year","2010","279172920000",""
"Germany","2.5","Industries","Real estate activities","L","2016","1000","Euro","2008","Western calendar year","2015","300962000000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2016","1000","Euro","2008","Western calendar year","2010","269610370000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2016","1000","Euro","2008","Western calendar year","2015","313727530000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2016","1000","Euro","2008","Western calendar year","2010","448327780000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2016","1000","Euro","2008","Western calendar year","2015","502558690000",""
